src/components/CheckerBoard.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/CheckerBoard.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/CheckerBoard.jsx: line 3, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/CheckerBoard.jsx: line 4, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/CheckerBoard.jsx: line 5, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/CheckerBoard.jsx: line 6, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/CheckerBoard.jsx: line 8, col 1, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/CheckerBoard.jsx: line 10, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/CheckerBoard.jsx: line 11, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/CheckerBoard.jsx: line 20, col 18, Unclosed regular expression.
src/components/CheckerBoard.jsx: line 20, col 18, Unrecoverable syntax error. (24% scanned).

src/components/GamePage.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 3, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 4, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 5, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 6, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 8, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/GamePage.jsx: line 8, col 16, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/GamePage.jsx: line 10, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/GamePage.jsx: line 10, col 9, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/GamePage.jsx: line 26, col 25, Unclosed regular expression.
src/components/GamePage.jsx: line 26, col 25, Unrecoverable syntax error. (68% scanned).

src/components/GameTitle.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GameTitle.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GameTitle.jsx: line 4, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/GameTitle.jsx: line 4, col 16, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/GameTitle.jsx: line 9, col 14, Unclosed regular expression.
src/components/GameTitle.jsx: line 9, col 14, Unrecoverable syntax error. (69% scanned).

src/components/GiveUpButton.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/GiveUpButton.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
